title,price,location,listing_url,city,matched_keywords,scraped_at,unique_id
Beautiful Condo in Great Location,249900,Reedsburg,https://www.craigslist.org/view/d/reedsburg-beautiful-condo-in-great/6Fw8HVw3idfrpRTGQbqzJ3,milwaukee,[],2026-07-19T03:55:08.490943,27da8379648c5cbb
Milwaukee Distressed Properties,59900,,https://www.craigslist.org/view/d/milwaukee-milwaukee-distressed/2nxeiHk5NVzreNAesm6YSZ,milwaukee,[],2026-07-19T03:55:08.500310,357d8b7fff479a1f
Updated 1996 Marshfield Energy Saver (16x72),58000,Greenvalley III,https://www.craigslist.org/view/d/jackson-updated-1996-marshfield-energy/9sQYXQiaUahMyov1aiBDKY,milwaukee,[],2026-07-19T03:55:08.509076,8d9164f6ded09c96
Value Add Properties for Sale!,175000,milwaukee,https://www.craigslist.org/view/d/milwaukee-value-add-properties-for-sale/gzLmqWcKbXu6HZ1WAUFEMT,milwaukee,[],2026-07-19T03:55:08.517559,4896e736f4fa3b7d
"Distressed Houses, for sale As-Is condition",180000,milwaukee,https://www.craigslist.org/view/d/milwaukee-distressed-houses-for-sale-as/hu6Bd5DH2nuSNHCkQCbTyQ,milwaukee,[],2026-07-19T03:55:08.525480,9cd445389a7eb31a
SELL ASAP - HUGE Duplex for sale by Owner - Motivated,120000,,https://www.craigslist.org/view/d/milwaukee-sell-asap-huge-duplex-for/1aD8rrzgsyK24kddWJFn8b,milwaukee,['duplex'],2026-07-19T03:55:08.534925,b7ebabfeb4537a81
SELL ASAP - 4/3 Duplex Fully Occupied Cash Flowing,120000,,https://www.craigslist.org/view/d/milwaukee-sell-asap-duplex-fully/9wWRrE3rrQiedMJFxDcQ5k,milwaukee,['duplex'],2026-07-19T03:55:08.542964,90b66880d7fc4a59
"For Sale: $134,900 – Turnkey, Complete updated Milwaukee Home",134900,Milwaukee,https://www.craigslist.org/view/d/milwaukee-for-sale-turnkey-complete/24Mp4XC1G8JvDD6ersYWhy,milwaukee,[],2026-07-19T03:55:08.550873,4e6111ce9b658b46
🏡OFF MARKET OPEN HOUSE – Investment Opportunity Saturday 06-20-26,110000,,https://www.craigslist.org/view/d/milwaukee-off-market-open-house/hUJyJ8BKtn5oL8jYrymJbD,milwaukee,['investment'],2026-07-19T03:55:08.557891,32ccefa4e927fc6b
Milwaukee Condo 3/1.5 ~Ready to Rent,78000,,https://www.craigslist.org/view/d/milwaukee-milwaukee-condo-15-ready-to/qE5o4k7x8uPni5cTDy5PFU,milwaukee,[],2026-07-19T03:55:08.565616,f2e2cc91d269bd03
"$50,000 2BR/2Bath home (Sussex) WI - Retirement Community",50000,Sussex,https://www.craigslist.org/view/d/lannon-br-2bath-home-sussex-wi/rKEgodZUQUvzHLB3dbeNqo,milwaukee,[],2026-07-19T03:55:08.572917,c0fa7f70a204dc02
Franklin Lot For Sale,165900,Franklin WI.,https://www.craigslist.org/view/d/franklin-franklin-lot-for-sale/kpHzU23c4gYyQj4uzoUAyx,milwaukee,[],2026-07-19T03:55:08.579876,0c0c34eed3f9a2bc
A piece of commercial lot for sale,125000,Minneapolis,https://www.craigslist.org/view/d/minneapolis-piece-of-commercial-lot-for/mspdCfef5TCFcQV62joZRv,milwaukee,[],2026-07-19T03:55:08.587549,e18c248fb39db036
